State/Area,Year,Month,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Kentucky,1977,3,1523209,60.3,1447618,57.4,75591,5.0
Louisiana,1977,3,1571507,57.0,1464623,53.1,106884,6.8
Maine,1977,3,480628,61.2,437337,55.7,43291,9.0
Maryland,1977,3,1953439,64.8,1826939,60.6,126500,6.5
Massachusetts,1977,3,2736364,64.5,2505037,59.1,231327,8.5
Michigan,1977,3,4062586,62.3,3714184,57.0,348402,8.6
Minnesota,1977,3,1902622,66.8,1792903,63.0,109719,5.8
Mississippi,1977,3,986812,58.7,916432,54.5,70380,7.1
Missouri,1977,3,2176482,61.8,2041608,58.0,134874,6.2
Montana,1977,3,344493,63.1,323681,59.3,20812,6.0
Nebraska,1977,3,732724,66.0,709613,63.9,23111,3.2
Nevada,1977,3,344696,71.4,317304,65.7,27392,7.9
New Hampshire,1977,3,414091,66.9,388330,62.7,25761,6.2
New Jersey,1977,3,3378105,62.3,3033741,56.0,344364,10.2
New Mexico,1977,3,506851,61.1,463479,55.8,43372,8.6
New York,1977,3,7707711,58.2,6951957,52.5,755754,9.8
New York city,1977,3,3070256,54.5,2748001,48.7,322255,10.5
North Carolina,1977,3,2647364,66.2,2480267,62.0,167097,6.3
North Dakota,1977,3,286647,63.4,273927,60.6,12720,4.4
Ohio,1977,3,4803584,61.7,4463552,57.3,340032,7.1
Oklahoma,1977,3,1223069,59.6,1158992,56.5,64077,5.2
Oregon,1977,3,1138751,63.9,1040124,58.4,98627,8.7
Pennsylvania,1977,3,5194346,58.6,4779019,53.9,415327,8.0
Rhode Island,1977,3,446606,63.5,408031,58.0,38575,8.6
South Carolina,1977,3,1321504,64.6,1226364,60.0,95140,7.2
South Dakota,1977,3,316279,65.2,304590,62.8,11689,3.7
Tennessee,1977,3,1926764,60.8,1800677,56.9,126087,6.5
Texas,1977,3,5883658,64.2,5551092,60.6,332566,5.7
Utah,1977,3,541441,63.2,511738,59.7,29703,5.5
Vermont,1977,3,223676,64.1,207118,59.3,16558,7.4
Virginia,1977,3,2380226,65.4,2248350,61.7,131876,5.5
Washington,1977,3,1685774,62.6,1529930,56.8,155844,9.2
West Virginia,1977,3,714534,51.5,663983,47.8,50551,7.1
Wisconsin,1977,3,2178663,65.9,2063288,62.4,115375,5.3
Wyoming,1977,3,190383,66.8,183468,64.4,6915,3.6
Alabama,1977,4,1553113,58.0,1436379,53.7,116734,7.5
Alaska,1977,4,171666,69.5,154963,62.7,16703,9.7
Arizona,1977,4,1034436,60.5,941652,55.1,92784,9.0
Arkansas,1977,4,917194,58.3,856933,54.4,60261,6.6
California,1977,4,10266363,63.5,9370903,57.9,895460,8.7
Los Angeles County,1977,4,3451823,64.2,3166301,58.9,285522,8.3
Colorado,1977,4,1285532,67.3,1202099,63.0,83433,6.5
Connecticut,1977,4,1474428,64.7,1364425,59.8,110003,7.5
Delaware,1977,4,271739,63.6,248093,58.1,23646,8.7
District of Columbia,1977,4,327826,63.9,299287,58.3,28539,8.7
Florida,1977,4,3672409,55.0,3351772,50.2,320637,8.7
Georgia,1977,4,2319954,63.9,2148119,59.2,171835,7.4
Hawaii,1977,4,416555,68.7,383686,63.3,32869,7.9
Idaho,1977,4,390737,64.5,367507,60.6,23230,5.9
Illinois,1977,4,5255900,63.6,4937963,59.8,317937,6.0
Indiana,1977,4,2469207,64.0,2327939,60.4,141268,5.7
Iowa,1977,4,1378683,65.5,1323236,62.9,55447,4.0
Kansas,1977,4,1104151,66.2,1059538,63.5,44613,4.0
Kentucky,1977,4,1528373,60.5,1453931,57.5,74442,4.9
Louisiana,1977,4,1581436,57.3,1474786,53.4,106650,6.7
Maine,1977,4,480700,61.1,438142,55.7,42558,8.9
Maryland,1977,4,1957357,64.8,1833610,60.7,123747,6.3
Massachusetts,1977,4,2742178,64.6,2515558,59.3,226620,8.3
Michigan,1977,4,4075317,62.5,3732059,57.2,343258,8.4
Minnesota,1977,4,1911524,67.0,1803405,63.2,108119,5.7
Mississippi,1977,4,989123,58.7,917666,54.5,71457,7.2
Missouri,1977,4,2184265,62.0,2050468,58.2,133797,6.1
Montana,1977,4,345729,63.2,324823,59.4,20906,6.0
Nebraska,1977,4,735037,66.1,711593,64.0,23444,3.2
Nevada,1977,4,346504,71.3,320144,65.9,26360,7.6
New Hampshire,1977,4,415612,66.9,390405,62.9,25207,6.1
New Jersey,1977,4,3383239,62.4,3047295,56.2,335944,9.9
New Mexico,1977,4,508830,61.1,466544,56.0,42286,8.3
New York,1977,4,7716524,58.3,6977815,52.7,738709,9.6
New York city,1977,4,3066318,54.5,2749662,48.8,316656,10.3
North Carolina,1977,4,2656658,66.3,2492422,62.2,164236,6.2
North Dakota,1977,4,287302,63.6,274447,60.7,12855,4.5
Ohio,1977,4,4813786,61.8,4484384,57.5,329402,6.8
Oklahoma,1977,4,1228874,59.8,1165110,56.7,63764,5.2
Oregon,1977,4,1142148,63.9,1047965,58.6,94183,8.2
Pennsylvania,1977,4,5201972,58.7,4791748,54.1,410224,7.9
Rhode Island,1977,4,447272,63.5,409341,58.1,37931,8.5
South Carolina,1977,4,1323419,64.6,1229025,60.0,94394,7.1
South Dakota,1977,4,316797,65.2,305293,62.8,11504,3.6
Tennessee,1977,4,1930531,60.8,1805495,56.9,125036,6.5
Texas,1977,4,5903231,64.3,5578003,60.7,325228,5.5
Utah,1977,4,543176,63.2,513643,59.7,29533,5.4
Vermont,1977,4,224714,64.2,208360,59.5,16354,7.3
Virginia,1977,4,2385076,65.4,2254172,61.8,130904,5.5
Washington,1977,4,1690618,62.6,1537243,57.0,153375,9.1
West Virginia,1977,4,716722,51.6,666586,48.0,50136,7.0
Wisconsin,1977,4,2181642,65.9,2068988,62.5,112654,5.2
