State/Area,Year,Month,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Vermont,2010,2,359539,70.6,335633,65.9,23906,6.6
Virginia,2010,2,4146809,68.6,3829743,63.3,317066,7.6
Washington,2010,2,3458632,66.2,3136999,60.1,321633,9.3
West Virginia,2010,2,809095,55.6,736973,50.6,72122,8.9
Wisconsin,2010,2,3089495,69.7,2806625,63.3,282870,9.2
Wyoming,2010,2,301933,71.7,278975,66.3,22958,7.6
Alabama,2010,3,2146904,59.0,1912541,52.5,234363,10.9
Alaska,2010,3,361357,70.2,331099,64.3,30258,8.4
Arizona,2010,3,3116147,62.3,2787165,55.7,328982,10.6
Arkansas,2010,3,1348707,60.9,1242264,56.1,106443,7.9
California,2010,3,18359589,65.1,16050996,56.9,2308593,12.6
Los Angeles County,2010,3,4931091,65.2,4309620,57.0,621471,12.6
Colorado,2010,3,2717321,70.0,2471367,63.7,245954,9.1
Connecticut,2010,3,1902002,68.9,1718400,62.3,183602,9.7
Delaware,2010,3,432340,62.5,393640,56.9,38700,9.0
District of Columbia,2010,3,345142,70.0,310074,62.9,35068,10.2
Florida,2010,3,9065533,61.7,8076970,55.0,988563,10.9
Georgia,2010,3,4708859,63.9,4201580,57.0,507279,10.8
Hawaii,2010,3,640630,65.0,596671,60.5,43959,6.9
Idaho,2010,3,763983,65.9,695240,60.0,68743,9.0
Illinois,2010,3,6634842,66.9,5894031,59.4,740811,11.2
Indiana,2010,3,3177346,64.5,2841624,57.6,335722,10.6
Iowa,2010,3,1675368,71.5,1570007,67.0,105361,6.3
Kansas,2010,3,1501694,70.1,1394805,65.2,106889,7.1
Kentucky,2010,3,2062897,61.6,1842725,55.1,220172,10.7
Louisiana,2010,3,2077866,60.9,1927051,56.5,150815,7.3
Maine,2010,3,698109,65.5,637570,59.8,60539,8.7
Maryland,2010,3,3064844,69.2,2818977,63.6,245867,8.0
